"Domain/Industry","Ontology Framework","Download Link"
"Cybersecurity","Unified Cybersecurity Ontology (UCO)","https://github.com/Ebiquity/Unified-Cybersecurity-Ontology"
"Cybersecurity","Unified Cybersecurity Ontology (UCO, alt)","https://github.com/ucoProject/UCO"
"Industrial Controls","ICS-SEC Ontology (ICS)","https://github.com/sepses/ics-sec-kg"
"Engineering","Engineering Application Ontology","https://www.scribd.com/document/929424916/Engineering-Application-Ontology"
"Critical Infrastructure","CI System Ontology (Disruption Scenario)","https://www.academia.edu/82635366/Ontology_based_approach_to_disruption_scenario_generation_for_critical_infrastructure_systems"
"Business/Enterprise","Business Ontology Research PDF","https://www.globaluniversityalliance.org/wp-content/uploads/2017/10/The-Business-Ontology-Research-Analysis.pdf"
"Business/Enterprise","LEADing Practice Case PDF","https://www.leadingpractice.com/wp-content/uploads/2020/03/Using-the-LEAD-Ontology-to-Transform-three-leading-organizations-Connectwise.pdf"
"Enterprise Architecture","ArchiMate Ontology (step-by-step)","https://github.com/yasenstar/ArchiMate_Ontology"
"Enterprise Architecture","ArchiMate Official Download (licensed)","https://www.opengroup.org/archimate-licensed-downloads"
"IT/Cloud/Networking","ICT High Level Ontology PDF","https://davidchavesfraga.com/outcomes/papers/2021/corcho2021high.pdf"
"IT/Cloud/Networking","DevOps Infra Ontology PDF","https://oa.upm.es/72099/3/2021_ISWC_DevOps_Infra.pdf"
"Media/Cloud Workflows","Media in the Cloud Ontology Guide","https://www.smpte.org/media-in-the-cloud-ontology-guide"
"Media/Cloud Workflows","Media in the Cloud Tech Guide","https://content-technology.com/technical-standards/media-in-the-cloud-ontology-and-semantic-web-technology-navigation-guide/"