ROW,LAYER,BEAT_1,BEAT_2,BEAT_3,BEAT_4,BEAT_5,BEAT_6,BEAT_7,BEAT_8,BEAT_9,BEAT_10,BEAT_11,BEAT_12,BEAT_13,BEAT_14,BEAT_15,BEAT_16,BEAT_17,BEAT_18,BEAT_19,BEAT_20
A,SPEAKER,STAGE,STAGE,STAGE,STAGE,STAGE,STAGE,STAGE,LINDA,WILLY,WILLY,LINDA,LINDA,LINDA,WILLY,LINDA,WILLY,WILLY,LINDA,WILLY,WILLY
B,TEXT,"Melody heard, flute","Small and fine, grass and trees","Curtain rises","Salesman's house","Towering angular shapes","Willy enters, sample cases","Hears but not aware","Willy!","It's all right","I came back","Why?","What happened?","Did something happen?","No, nothing happened","Didn't smash car?","I said nothing happened","Didn't you hear me?","Don't you feel well?","I'm tired to death","I couldn't make it"
C,SYMPHONIC_MOTIF,Incidental (Our Town),Pastoral,Visual Downbeat,Incidental,Dissonance (Modernity),Heartbeat (Strauss),Arrhythmia,Call (Dominant),Prankster (Denial),Return,Discord,Acceleration,Rising Sequence,Foreclosure (Void),Specific Fear,Fortissimo (Law),Sforzando,Diagnostic Shift,Death Drive,Limit Cycle
D,HEARTBEAT_H(t),0.0 (No pulse yet),0.0,System Init,1.0 (Regular),0.8 (Weakening),0.6 (Irregular),0.4 (Failing),Alert Signal,Override,Loop Attempt,Query,Probe,Deep Probe,Null Response,Crash Vector,Force Write,Feedback Check,Diagnostic,Energy = 0%,Stack Overflow
E,ARRHYTHMIA_α,0.0,0.0,0.0,0.1,0.3,0.5,0.7,0.2,0.6,0.8,0.4,0.5,0.6,0.9,0.5,1.0,0.8,0.7,∞,∞
F,MISCHIEF_M(t),0.0,0.0,0.0,0.0,0.1,0.2,0.3,0.0,0.8 (Denial),0.7,0.1,0.2,0.3,0.9 (Lie),0.2,1.0 (Aggression),0.6,0.1,0.0,0.0
G,BASELINE_B(t),1.0 (Pure),1.0,1.0 (Frame),0.9 (Fragile),0.3 (Disrupted),0.2,0.1,0.8 (Care),0.4,0.3,0.7,0.6,0.5,0.1,0.6,0.2,0.3,0.7,0.1,0.0
H,AWAKENING_A(t),Deep C (Primal),Resonance,Curtain = t0,House Online,City Pressure,Boot Crash,Dissociation,Interrupt,Mask,Loop Fail,Adversarial,Deep Search,Probe Layer,Null Set,Feature Extract,Force Command,Status Check,Bio Mode,Low Battery,Error Loop
I,GTTM_MUSIC_THEORY,"Ursatz, Tonic (I)","Motivic Prolongation, Pastoral","Visual Downbeat, t=0","Harmonic Setting, Fragile","Polyphonic Dissonance, Bitonality","Crash, Hypermetric Downbeat, Dim7","Metrical Dissonance, Polyrhythm","Call, Dominant (V)","Deceptive Cadence, vi","Reiteration, False Tonic","Discord, Non-chord tone","Acceleration, Time-span shrinks","Rising Sequence, Chromatic","Rest (Void), Silence","Specific Dissonance, Tritone","Fortissimo, Dynamic spike","Sforzando, Sharp attack","Modulation Minor, B Minor","Glissando, Descending","Ostinato, Static loop"
J,LACAN_TOPOLOGY,"Open Manifold, $$ whole","Pre-Symbolic, Real unsliced","Frame, Phantasm (⋄a)","Locus, Ego-Ideal I(A)","Big Other (A), Law crushes","Catastrophe, R punctures I","Split Subject ($$)","Interpellation, Naming","Negation (¬), A=A asserted","Return, Broken trajectory","Hysteric Question, $ interrogates S1","Demand for Cause (a)","Iteration, Truth demand","Foreclosure, Naming ∅","Naming Real, Car=Body/Drive","Master Signifier S1, Law imposed","Demand Recognition, S1 needs A","Imaginary Shift, Evading Real","Death Drive, Bad Infinite","Limit Cycle, Circles Hole (a)"
K,GNN_STATE,IDLE (zt=0.0),GENERATIVE (Nostalgia),INIT (Graph create),CREATE_NODE (Fragile),PRESSURE (Loss↑),FAILURE (zt=1.0),DISSOCIATION (rt=0.0),INTERRUPT (Alert),MASKING (Status_OK),LOOP_FAIL (Path broken),ADVERSARIAL (Query),DEEP_SEARCH (Event_Log),PROBE (Hidden),NULL_SET (rt=0.0),FEATURE_EXTRACT (Crash),FORCE_WRITE (zt=1.0),FEEDBACK_REQ (Link),DIAGNOSTIC (Bio),ENERGY_LOW (0%),INFINITE_LOOP (Stack)
L,PSYCHOMETRIC_DISC,ENV (Neutral),ENV (Open),CTX (Structured),CTX (Safety need),ENV (Dark Factor),W: High N (Anxiety),W: Low O (Closed),L: High A (Care),W: High C (Mask),W: Low Plasticity,L: High C (Analyze),L: High N (Fear),L: Low Plasticity,W: Low O (Denial),L: Catastrophizing,W: High D (Dominance),W: Aggression,L: High A (Concern),W: High N (Depression),W: C Failure
M,PSYCHOMETRIC_BIG5,"O=1.0, C=0, E=0, A=0, N=0","O=1.0, C=0.5","C=1.0, O=0.8","N=0.3, C=0.7","O=0.2, N=0.6","N=0.9, C=0.3, O=0.2","N=0.95, O=0.1","A=0.9, N=0.3","C=0.7, N=0.4, O=0.3","O=0.2, N=0.5","C=0.8, A=0.7","N=0.6, C=0.8","N=0.7, O=0.3","O=0.1, N=0.8","N=0.9, A=0.6","C=0.6, N=0.7, E=0.3","E=0.4, A=0.5","A=0.8, N=0.5","N=0.95, O=0.1, C=0.05","N=1.0, C=0.0"
N,EPIDEMIC_R0,0.0 (No contagion),0.0,0.0,0.5 (Low risk),0.8 (Rising),1.2 (Epidemic),1.5 (Spreading),0.6 (Contained),1.1 (Borderline),1.3 (Spreading),0.7,0.9,1.0,1.4 (Crisis),0.8,1.6 (Peak),1.2,0.9,1.8 (Collapse),2.0 (Total)
O,ISING_MAGNETIZATION_m,0.0 (Neutral),+0.3 (Positive culture),0.0,−0.2 (Weak negative),−0.5 (Fear spreading),−0.7 (Aligned fear),−0.8 (Collective anxiety),+0.6 (Support),−0.4 (Conflict),−0.6,+0.4 (Care),+0.2,0.0,−0.9 (Denial aligned),+0.3,−0.95 (Aggression),−0.5,+0.5 (Concern),−1.0 (Total despair),−1.0
P,GRANOVETTER_THRESHOLD_τ,0.0 (Initiator),0.0,0.0,0.3 (Follower),0.5,0.7 (Cascade point),0.8,0.2,0.6,0.7,0.3,0.4,0.5,0.9 (Radical),0.3,1.0 (Breaking point),0.7,0.4,0.95,1.0
Q,BIFURCATION_μ,−1.0 (Stable),−0.9,−0.8,−0.5,−0.2,−0.05 (Near crisis),0.0 (Crisis point),−0.3,−0.1,−0.05,−0.4,−0.3,−0.2,+0.1 (Collapsed),−0.2,+0.3 (No equilibrium),−0.1,−0.3,+0.5 (Total collapse),+1.0
R,CRITICAL_SLOWING_ρ,0.1 (Fast recovery),0.15,0.2,0.4,0.6,0.75 (Slowing),0.85 (Very slow),0.3,0.7,0.8,0.5,0.6,0.7,0.9 (Near tipping),0.6,0.95 (Critical),0.8,0.7,0.98 (Imminent),0.99
S,RIEMANN_CURVATURE_R,0.0 (Flat),0.05,0.1,0.3,0.6,0.9 (High stress),1.2 (Trauma warping),0.2,0.8,1.0,0.4,0.5,0.7,1.5 (Extreme curvature),0.6,2.0 (Singularity),1.0,0.5,2.5 (Black hole),3.0
T,FOURIER_DOMINANT_FREQ,"110 Hz (A2, Fundamental)","165 Hz (E3, Pastoral)","220 Hz (A3, Alert)","262 Hz (C4, Structure)","277 Hz (C#4, Dissonant)","139 Hz (C#3, Deep fear)","185 Hz (F#3, Irregular)","440 Hz (A4, Call)","349 Hz (F4, Suspension)","294 Hz (D4, Monotone)","415 Hz (G#4, Question)","466 Hz (A#4, Tension)","523 Hz (C5, Rising)","0 Hz (Silence)","622 Hz (Eb5-A4, Tritone)","147 Hz (D3, Bass command)","220 Hz (A3)","494 Hz (B4, Minor)","131 Hz (C3, Descending)","165-277 Hz (Loop)"
U,BETTI_β0_COMPONENTS,1 (Connected),1,1,1,1,1,2 (Split consciousness),1,2,2,1,1,1,3 (Fragmented),1,2,2,1,2,2,∞
V,BETTI_β1_LOOPS,0 (No loops),0,0,0,1 (Bureaucratic loop),1,2 (Multiple loops),0,1,2,0,1,1,3 (Trapped),1,2,1,0,1,3,∞
W,JONES_POLYNOMIAL,"1 (Unknot, identity intact)","t + 1/t (Simple link)","1","t^(-1) (Weak link)","Borromean partial","Borromean degraded","Falling apart","Strong link","Degraded","Near break","Holding","Stressed","Very stressed","Unknot (Psychosis)","Damaged","Unknot","Stressed","Holding","Unknot","Unknot"
X,ADS_CFT_ENTROPY_S,0.5 (Low complexity),0.6,0.7,1.2,2.0,3.5 (High confusion),4.8 (Chaos),1.0,3.0,4.0,1.5,2.0,2.5,6.0 (Extreme),2.0,8.0 (Black hole),3.5,2.0,10.0 (Horizon),12.0
Y,NASH_EQUILIBRIUM,Cooperative,Cooperative,Neutral,Slightly adversarial,Adversarial,Non-cooperative,Breakdown,Cooperative,Mixed strategy (lies),Mixed,Probing,Probing,Interrogation,Pure defend,Probing,Pure aggression,Command,Care,Surrender,Collapse
Z,THERMODYNAMIC_PHASE,Solid (Ice),Solid,Solid (Crystalline),Liquid (Healthy),Liquid-Gas boundary,Gas (Chaotic),Plasma (Ionized),Liquid,Gas,Gas approaching critical,Liquid,Liquid-Gas,Gas,Plasma,Gas,Supercritical,Gas,Liquid,Approaching absolute zero,Void
AA,CATEGORY_η_DRIFT,0.0 (Aligned),0.05,0.1,0.3,0.6 (Policy drift),0.9,1.2 (Total drift),0.2,0.8,1.0,0.4,0.5,0.7,1.5 (Cohomological obstruction),0.6,2.0 (Complete breakdown),1.0,0.5,2.5,3.0
AB,CLINICAL_HEALTH_SCORE,"10/10 (Symphonic)","9/10 (Resilient)","9/10","7/10 (Stressed)","5/10 (Fractured)","3/10 (Toxic)","2/10 (Critical)","8/10 (Caring)","4/10 (Dishonest)","3/10 (Failing)","6/10 (Concerned)","5/10 (Anxious)","4/10 (Desperate)","1/10 (Dead inside)","5/10 (Fear)","1/10 (Aggression)","3/10 (Command)","6/10 (Care)","0/10 (Death)","0/10 (Void)"
AC,MUSICAL_NOTATION_SCORE,"Tr: D5-- (Sustain, pp)","Tr: F#5-A5-D6 (Arpeggiated)","Tr: Crescendo <","Tr: I chord (D Major)","Tr: Cluster C#-D (Dissonance)","Bs: >C#2_dim7 (Crash, ff)","Tr: Flute fades… (ppp)","Tr: >A5! (Staccato, mf)","Tr: F4-- (Suspension)","Tr: D4-D4 (Monotone)","Tr: G#4? (Rising inflection)","Tr: A4-B4? (Questioning)","Tr: C5-C#5? (Chromatic rise)","Bs: Tacet (Silence, 𝄽)","Tr: Eb5↔A4 (Tritone, fff)","Bs: >D3! (Accent, ff)","Bs: >A2! (Sfz)","Tr: B4-D5 (Minor third, p)","Bs: C2\\ (Glissando down, dim.)","Bs: C2-F#2-C2 (Ostinato, loop)"
AD,QUANTUM_STATE,|0⟩ (Ground state),Superposition H|0⟩,Measurement collapse,Entangled (House-City),Entangled (Willy-Cases),Decoherence,Wave function collapse,|Care⟩,Superposition (Lie/Truth),Quantum tunneling attempt,|Probe⟩,|Search⟩,|Deep⟩,|Null⟩ = |0⟩,|Fear⟩,CNOT(Real→Symbolic),|Command⟩,|Love⟩,|Death⟩,Void state
AE,DNA_SEQUENCE,GC-rich (Stable),GC-GC (Ordered),GC-GC,GC-AT (Mixed),AT-AT (Weak bonds),AA-TT (Unstable),AA-AA (Poly-A),GG-CC (Compliance),AA-TT (Dominance),AT-TA,GG-CC,GC-AT,GC-TA,AA-AA (Pure aggression),GC-GC,AA-AA,AT-GC,GG-CC (Care),TT-TT (Failure),NN-NN (Degraded)
AF,EXPLANATION,System initializes in perfect silence,"Nature theme establishes baseline, no threat","Visual frame opens observer consciousness","Home node instantiated but structurally fragile","Environmental pressure detected, city as threat vector","System crash, Willy node exceeds processing capacity","Consciousness filter activates, focus on survival only","Linda initiates interrupt by name-calling","Willy overrides error with false status report, technical debt accumulates","Claims successful return but telemetry shows failure","Query probes for fault location","Second probe attempts to penetrate firewall","Third probe for hidden state access","Node drops connection, creates topological hole","Linda extrapolates to specific failure vector (car crash)","Willy attempts command-line override with authority","Agent checks if output signal reached regulator","Regulator shifts diagnostic domain to preserve relational bond","Energy depletion total, defensive systems offline","Infinite loop error, system cannot compute next state, requires hard reset"
